,filename,sgpa,cgpa
112,20010101016_1800265814.html,7.96,7.89
113,20010101016_1800265934.html,6.91,7.76
114,20010101018_1800265267.html,4.79,6.06
115,20010101018_1800265331.html,4.31,6.47
116,20010101018_1800265469.html,6.67,6.61
117,20010101018_1800265499.html,6.31,7.18
118,20010101018_1800265789.html,4.79,6.59
119,20010101018_1800265814.html,7.15,6.7
120,20010101018_1800265930.html,7.38,7.55
121,20010101018_1800265931.html,5.46,7.04
122,20010101018_1800265934.html,7.52,7.07
123,20010101019_1800265267.html,3.04,6.18
124,20010101019_1800265331.html,6.04,7.2
125,20010101019_1800265469.html,6.58,7.2
126,20010101019_1800265499.html,7.12,7.58
127,20010101019_1800265500.html,6.63,7.35
128,20010101019_1800265814.html,7.56,7.26
129,20010101019_1800265934.html,6.61,7.17
130,20010101020_1800265267.html,6.17,7.22
131,20010101020_1800265331.html,7.15,7.57
132,20010101020_1800265469.html,6.5,7.08
133,20010101020_1800265814.html,7.11,7.09
134,20010101020_1800265934.html,7.83,7.19
135,20010101021_1800265267.html,3.5,5.38
136,20010101021_1800265331.html,2.88,5.99
137,20010101021_1800265469.html,2.54,5.15
138,20010101021_1800265499.html,3.81,6.31
139,20010101021_1800265500.html,4.17,5.79
140,20010101021_1800265788.html,4.5,6.55
141,20010101021_1800265789.html,4.83,6.13
142,20010101021_1800265814.html,5.59,5.74
143,20010101021_1800265930.html,5.19,6.8
144,20010101021_1800265931.html,4.83,6.32
145,20010101021_1800265932.html,4.29,5.92
146,20010101021_1800265934.html,5.96,5.87
147,20010101022_1800265267.html,3.67,5.89
148,20010101022_1800265331.html,4.92,6.61
149,20010101022_1800265469.html,3.5,6.04
150,20010101022_1800265499.html,5.85,6.93
151,20010101022_1800265500.html,5.83,6.66
152,20010101022_1800265790.html,5.42,6.42
153,20010101022_1800265814.html,4.48,6.07
154,20010101022_1800265933.html,5.07,6.17
155,20010101022_1800265934.html,6.61,6.23
156,20010101023_1800265267.html,3.29,5.22
157,20010101023_1800265331.html,2.65,5.85
158,20010101023_1800265469.html,0.96,4.83
159,20010101023_1800265499.html,3.35,6.09
160,20010101023_1800265500.html,4.79,5.78
161,20010101023_1800265788.html,3.96,6.31
162,20010101023_1800265789.html,4.79,5.94
163,20010101023_1800265790.html,2.13,5.19
